onset	duration	value	trial_type
28.3853	18	1	WordCongruent
59.4084	18	1	WordCongruent
90.4888	18	1	WordIncongruent
122.4868	18	1	WordIncongruent
155.5169	18	1	WordIncongruent
185.5078	18	1	WordIncongruent
216.5309	18	1	WordCongruent
244.5722	18	1	WordCongruent
277.6023	18	1	WordIncongruent
309.6576	18	1	WordCongruent
341.7129	18	1	WordIncongruent
373.7108	18	1	WordIncongruent
405.7661	18	1	WordCongruent
433.75	18	1	WordCongruent
461.7912	18	1	WordIncongruent
494.8214	18	1	WordCongruent
525.8445	18	1	WordCongruent
558.8746	18	1	WordIncongruent
