onset	duration	value	trial_type
23.8551	18	1	WordIncongruent
55.8531	18	1	WordCongruent
86.8762	18	1	WordIncongruent
116.8671	18	1	WordCongruent
147.8902	18	1	WordCongruent
175.9314	18	1	WordIncongruent
208.9615	18	1	WordIncongruent
240.9595	18	1	WordCongruent
273.9896	18	1	WordIncongruent
305.0127	18	1	WordIncongruent
336.0358	18	1	WordIncongruent
368.0338	18	1	WordCongruent
396.075	18	1	WordCongruent
428.073	18	1	WordCongruent
459.0961	18	1	WordIncongruent
491.094	18	1	WordCongruent
524.1242	18	1	WordCongruent
552.108	18	1	WordIncongruent
