onset	duration	value	trial_type
23.2817	18	1	WordIncongruent
56.3118	18	1	WordCongruent
87.3349	18	1	WordCongruent
115.3761	18	1	WordIncongruent
147.3741	18	1	WordIncongruent
177.365	18	1	WordIncongruent
209.4203	18	1	WordCongruent
242.4504	18	1	WordCongruent
273.4162	18	1	WordIncongruent
304.4966	18	1	WordCongruent
336.4946	18	1	WordCongruent
369.5247	18	1	WordIncongruent
402.4975	18	1	WordIncongruent
434.5528	18	1	WordCongruent
462.5367	18	1	WordIncongruent
493.5598	18	1	WordIncongruent
525.6151	18	1	WordCongruent
556.5809	18	1	WordCongruent
