onset	duration	value	trial_type
24.0845	18	1	WordIncongruent
54.0754	18	1	WordIncongruent
85.0985	18	1	WordIncongruent
117.0964	18	1	WordCongruent
148.1196	18	1	WordCongruent
176.1608	18	1	WordIncongruent
209.1909	18	1	WordIncongruent
241.1889	18	1	WordCongruent
272.212	18	1	WordCongruent
305.2421	18	1	WordCongruent
338.2149	18	1	WordCongruent
366.2561	18	1	WordCongruent
397.2792	18	1	WordIncongruent
429.2772	18	1	WordIncongruent
460.3003	18	1	WordIncongruent
493.3304	18	1	WordCongruent
525.3284	18	1	WordCongruent
553.3696	18	1	WordIncongruent
