onset	duration	value	trial_type
24.3139	18	1	WordIncongruent
54.3048	18	1	WordCongruent
85.3279	18	1	WordIncongruent
116.351	18	1	WordIncongruent
148.3489	18	1	WordCongruent
179.372	18	1	WordCongruent
207.4132	18	1	WordCongruent
240.386	18	1	WordIncongruent
272.4413	18	1	WordIncongruent
305.4715	18	1	WordIncongruent
337.4694	18	1	WordCongruent
370.4996	18	1	WordIncongruent
403.4724	18	1	WordCongruent
434.4955	18	1	WordCongruent
462.5367	18	1	WordIncongruent
493.5598	18	1	WordCongruent
525.5578	18	1	WordIncongruent
557.5557	18	1	WordCongruent
