onset	duration	value	trial_type
22.9949	18	1	WordCongruent
51.0362	18	1	WordIncongruent
83.0341	18	1	WordIncongruent
113.0824	18	1	WordCongruent
144.1055	18	1	WordCongruent
177.0783	18	1	WordIncongruent
208.1014	18	1	WordIncongruent
241.1315	18	1	WordCongruent
272.1546	18	1	WordIncongruent
304.1526	18	1	WordCongruent
337.1827	18	1	WordIncongruent
368.2058	18	1	WordIncongruent
400.2038	18	1	WordCongruent
432.2591	18	1	WordCongruent
460.2429	18	1	WordCongruent
488.2842	18	1	WordCongruent
519.3073	18	1	WordIncongruent
552.3374	18	1	WordIncongruent
