onset	duration	value	trial_type
23.5684	18	1	WordIncongruent
55.5663	18	1	WordIncongruent
87.6216	18	1	WordCongruent
118.5874	18	1	WordCongruent
151.6175	18	1	WordIncongruent
184.6477	18	1	WordIncongruent
215.6708	18	1	WordCongruent
246.6939	18	1	WordCongruent
274.6778	18	1	WordIncongruent
304.726	18	1	WordCongruent
335.7491	18	1	WordCongruent
368.7793	18	1	WordIncongruent
400.7772	18	1	WordIncongruent
432.7752	18	1	WordIncongruent
463.7983	18	1	WordIncongruent
496.8284	18	1	WordCongruent
524.8123	18	1	WordCongruent
552.8535	18	1	WordCongruent
