onset	duration	value	trial_type
23.6257	18	1	WordIncongruent
56.6559	18	1	WordIncongruent
86.7041	18	1	WordIncongruent
117.7272	18	1	WordCongruent
145.7684	18	1	WordCongruent
176.7916	18	1	WordIncongruent
208.7895	18	1	WordCongruent
241.8196	18	1	WordCongruent
272.8428	18	1	WordIncongruent
304.898	18	1	WordCongruent
335.9212	18	1	WordIncongruent
367.9764	18	1	WordCongruent
400.9492	18	1	WordIncongruent
433.0045	18	1	WordCongruent
461.0458	18	1	WordCongruent
489.087	18	1	WordIncongruent
520.1101	18	1	WordCongruent
552.108	18	1	WordIncongruent
