onset	duration	value	trial_type
23.3964	18	1	WordCongruent
56.4265	18	1	WordCongruent
87.4496	18	1	WordIncongruent
118.4727	18	1	WordIncongruent
151.5028	18	1	WordCongruent
182.526	18	1	WordIncongruent
214.5239	18	1	WordIncongruent
246.5219	18	1	WordCongruent
274.5631	18	1	WordIncongruent
304.554	18	1	WordCongruent
336.6093	18	1	WordIncongruent
368.6072	18	1	WordCongruent
396.6484	18	1	WordIncongruent
429.6786	18	1	WordIncongruent
460.7017	18	1	WordCongruent
493.7318	18	1	WordCongruent
524.7549	18	1	WordCongruent
552.7962	18	1	WordIncongruent
