onset	duration	value	trial_type
24.1418	18	1	WordCongruent
57.172	18	1	WordIncongruent
88.1951	18	1	WordCongruent
119.2182	18	1	WordIncongruent
151.2735	18	1	WordIncongruent
181.2644	18	1	WordIncongruent
213.3197	18	1	WordIncongruent
246.3498	18	1	WordCongruent
277.3729	18	1	WordCongruent
305.4141	18	1	WordIncongruent
337.4121	18	1	WordCongruent
365.4533	18	1	WordCongruent
398.4835	18	1	WordCongruent
429.5066	18	1	WordCongruent
461.5045	18	1	WordIncongruent
494.5347	18	1	WordIncongruent
526.5326	18	1	WordCongruent
554.5738	18	1	WordIncongruent
