onset	duration	value	trial_type
24.0271	18	1	WordCongruent
57.0573	18	1	WordIncongruent
88.0804	18	1	WordIncongruent
121.1105	18	1	WordIncongruent
153.1085	18	1	WordCongruent
184.1316	18	1	WordIncongruent
216.1295	18	1	WordCongruent
244.1708	18	1	WordCongruent
275.1939	18	1	WordIncongruent
305.2421	18	1	WordIncongruent
338.2723	18	1	WordCongruent
370.2702	18	1	WordIncongruent
401.2933	18	1	WordIncongruent
433.3486	18	1	WordIncongruent
465.3466	18	1	WordCongruent
493.3304	18	1	WordCongruent
524.3535	18	1	WordCongruent
552.3948	18	1	WordCongruent
