name	type	source	detector	wavelength_nominal	units
S1-D1-760.0	MISC	S1	D1	760.0	AU
S1-D2-760.0	MISC	S1	D2	760.0	AU
S1-D10-760.0	MISC	S1	D10	760.0	AU
S1-D11-760.0	MISC	S1	D11	760.0	AU
S1-D12-760.0	MISC	S1	D12	760.0	AU
S1-D26-760.0	MISC	S1	D26	760.0	AU
S1-D59-760.0	MISC	S1	D59	760.0	AU
S2-D2-760.0	MISC	S2	D2	760.0	AU
S2-D3-760.0	MISC	S2	D3	760.0	AU
S2-D11-760.0	MISC	S2	D11	760.0	AU
S2-D12-760.0	MISC	S2	D12	760.0	AU
S2-D13-760.0	MISC	S2	D13	760.0	AU
S2-D14-760.0	MISC	S2	D14	760.0	AU
S2-D27-760.0	MISC	S2	D27	760.0	AU
S3-D3-760.0	MISC	S3	D3	760.0	AU
S3-D4-760.0	MISC	S3	D4	760.0	AU
S3-D13-760.0	MISC	S3	D13	760.0	AU
S3-D14-760.0	MISC	S3	D14	760.0	AU
S3-D15-760.0	MISC	S3	D15	760.0	AU
S3-D16-760.0	MISC	S3	D16	760.0	AU
S3-D28-760.0	MISC	S3	D28	760.0	AU
S3-D60-760.0	MISC	S3	D60	760.0	AU
S4-D4-760.0	MISC	S4	D4	760.0	AU
S4-D5-760.0	MISC	S4	D5	760.0	AU
S4-D15-760.0	MISC	S4	D15	760.0	AU
S4-D16-760.0	MISC	S4	D16	760.0	AU
S4-D17-760.0	MISC	S4	D17	760.0	AU
S4-D18-760.0	MISC	S4	D18	760.0	AU
S4-D29-760.0	MISC	S4	D29	760.0	AU
S5-D5-760.0	MISC	S5	D5	760.0	AU
S5-D6-760.0	MISC	S5	D6	760.0	AU
S5-D17-760.0	MISC	S5	D17	760.0	AU
S5-D18-760.0	MISC	S5	D18	760.0	AU
S5-D19-760.0	MISC	S5	D19	760.0	AU
S5-D20-760.0	MISC	S5	D20	760.0	AU
S5-D30-760.0	MISC	S5	D30	760.0	AU
S5-D61-760.0	MISC	S5	D61	760.0	AU
S6-D6-760.0	MISC	S6	D6	760.0	AU
S6-D7-760.0	MISC	S6	D7	760.0	AU
S6-D19-760.0	MISC	S6	D19	760.0	AU
S6-D20-760.0	MISC	S6	D20	760.0	AU
S6-D21-760.0	MISC	S6	D21	760.0	AU
S6-D22-760.0	MISC	S6	D22	760.0	AU
S6-D31-760.0	MISC	S6	D31	760.0	AU
S7-D7-760.0	MISC	S7	D7	760.0	AU
S7-D8-760.0	MISC	S7	D8	760.0	AU
S7-D21-760.0	MISC	S7	D21	760.0	AU
S7-D22-760.0	MISC	S7	D22	760.0	AU
S7-D23-760.0	MISC	S7	D23	760.0	AU
S7-D24-760.0	MISC	S7	D24	760.0	AU
S7-D32-760.0	MISC	S7	D32	760.0	AU
S7-D62-760.0	MISC	S7	D62	760.0	AU
S8-D8-760.0	MISC	S8	D8	760.0	AU
S8-D9-760.0	MISC	S8	D9	760.0	AU
S8-D23-760.0	MISC	S8	D23	760.0	AU
S8-D24-760.0	MISC	S8	D24	760.0	AU
S8-D25-760.0	MISC	S8	D25	760.0	AU
S8-D33-760.0	MISC	S8	D33	760.0	AU
S9-D1-760.0	MISC	S9	D1	760.0	AU
S9-D10-760.0	MISC	S9	D10	760.0	AU
S9-D11-760.0	MISC	S9	D11	760.0	AU
S9-D26-760.0	MISC	S9	D26	760.0	AU
S9-D34-760.0	MISC	S9	D34	760.0	AU
S9-D35-760.0	MISC	S9	D35	760.0	AU
