onset	duration	value	trial_type
23.9698	18	1	WordIncongruent
54.9929	18	1	WordIncongruent
84.9838	18	1	WordIncongruent
117.0391	18	1	WordCongruent
145.023	18	1	WordCongruent
176.0461	18	1	WordIncongruent
208.1014	18	1	WordCongruent
239.0671	18	1	WordIncongruent
272.0973	18	1	WordCongruent
305.1274	18	1	WordCongruent
333.1686	18	1	WordIncongruent
365.1666	18	1	WordIncongruent
397.1645	18	1	WordCongruent
428.245	18	1	WordCongruent
461.2178	18	1	WordCongruent
489.259	18	1	WordIncongruent
520.2821	18	1	WordCongruent
552.2801	18	1	WordIncongruent
